Knowledge graph — Haraway Cyborg Manifesto (haraway_graph_v2) (508 relationships):
essay | argues_for | feminism
essay | argues_for | socialism
essay | argues_for | materialism
blasphemy | requires | seriousness
irony | constitutes | contradictions
cyborg | is_centre_of | essay
cyborg | constitutes | hybrid
social_reality | extends | lived_social_relations
women's_experience | constructed_by | international_women’s_movements
liberation | rests_on | construction_of_consciousness
cyborg | changes | women's_experience
science_fiction | contrasts_with | social_reality
cyborg | populates | worlds
modern_medicine | contains | cyborgs
cyborg_'sex' | restores | baroque
cyborg_replication | is_uncoupled_from | organic_reproduction
taylorism | seems_idyllic_compared_to | cyborg_colonization_work
c3i | codes | modern_war
cyborg | constitutes | ontology
cyborg | gives | politics
western_science_and_politics | contrasts_with | socialist-feminist_culture_and_theory
organism_and_machine | has_been_a_border_war_with | territories_of_production,_reproduction,_and_imagination
pleasure_in_confusion_of_boundaries | argues_for | responsibility_in_construction
utopian_tradition | imagines | world_without_gender
cyborg | contrasts_with | original_unity
cyborg | skips | identification_with_nature
marxism | depends_on | plot_of_original_unity
psychoanalysis | depends_on | plot_of_original_unity
cyborg | extends | subversion_of_teleology
hilary_klein | argues_that | marxism_and_psychoanalysis_depend_on_plot
cyborg | defines | technological_polis
nature | contrasts_with | culture
cyborg | opposes | heterosexual_mate
cyborg | rejects | garden_of_eden
cyborg | coalitions_with | united_front_politics
cyborg | transgresses | vanguard_party
human | contrasts_with | animal
feminist_culture | affirms | connection_between_human_and_animals
animal_rights_movement | recognizes | connection_across_nature_and_culture
biology | produces | modern_organisms_as_objects_of_knowledge
evolutionary_theory | reduces | line_between_humans_and_animals
christian_creationism | should_be_fought_against | child_abuse
biological-determinist_ideology | argues_for | meanings_of_human_animality
radical_political_people | contest | meanings_of_the_breached_boundary
cyborg | transgresses | boundary_between_human_and_animal
cyborg | signifies | tight_coupling_with_other_living_beings
bestiality | has_new_status_in | cycle_of_marriage_exchange
boundary_between_human_and_animal | is_breached_by | cyborg
animal-human | contrasts_with | machine
materialism | grounds | idealism
machines | cannot | achieve_autonomy
machines | mock | man's_dream
late_twentieth-century_machines | ambiguates | natural_vs_artificial
technological_determination | extends | ideological_space
textualization | contrasts_with | lived_relations_of_domination
postmodernist_strategies | subverts | organic_wholes
nature | is_undermined_by | postmodernist_strategies
transcendent_authorization | is_lost_with | interpretation
cyborg_myth | coalitions_with | politics
pop_physics_books | contrasts_with | harlequin_romances
modern_machines | constitutes | microelectronic_devices
silicon_chip | is_a_surface_for_writing | molecular_scales
small_machines | are_preeminently_dangerous | cruise_missiles
cyborgs | are_deadly | sunshine-belt_machines
cyborgs | are_invisible | politically_and_materially
greenham_women | can_read_cyborg_webs_of_power | well
c3i | is_about | realm_of_pure_number_and_spirit
cyborg_alice | takes_account_of_new_dimensions | none
unnatural_cyborg_women | will_guide_oppositional_strategies | effective
cyborg_myth | transgresses | boundaries
progressive_people | explores | dangerous_possibilities
american_socialists_and_feminists | sees | deepened_dualisms
high_technology_and_scientific_culture | dominates | technics
progressives | insisted | domination_of_technics
unity_of_people | requires | resistance
cyborg_world | is_about | final_imposition_of_a_grid_of_control
cyborg_world | is_about | abstraction_embodied_in_star_wars_apocalypse
cyborg_world | is_about | appropriation_of_women's_bodies
single_vision | produces | worse_illusions
cyborg_unities | are | monstrous_and_illegitimate
lag | is_a_kind_of | cyborg_society
feminism | requires | multiple_adjectives
gender | contrasts_with | class_and_race
female | does_not_naturally_bind | women
feminism | grounds | coalitions_with_other_groups
